step,i,j,heat
1,0,1,2.835826e+14
1,0,2,2.407495e+14
1,0,3,1.356382e+14
1,0,4,6.276144e+13
1,0,5,3.610545e+14
1,0,6,2.054090e+14
1,0,7,5.344394e+13
1,0,8,4.219556e+14
1,0,9,3.143047e+14
1,0,10,3.216105e+14
1,0,11,9.483744e+14
1,0,12,3.689244e+14
1,0,13,4.963932e+14
1,0,14,3.266578e+14
1,0,15,4.255953e+14
1,0,16,2.868458e+14
1,0,17,5.438336e+13
1,0,18,3.112985e+14
1,0,19,3.178218e+14
1,0,20,4.679589e+13
1,0,21,3.854757e+14
1,0,22,4.072908e+14
1,0,23,2.187660e+14
1,0,24,1.283684e+14
1,0,25,7.490446e+13
1,0,26,4.863017e+14
1,0,27,2.582584e+14
1,0,28,3.731497e+14
1,0,29,1.977866e+14
1,0,30,4.346385e+13
1,0,31,1.224693e+14
1,0,32,8.405300e+14
1,0,33,2.761444e+14
1,0,34,2.290826e+14
1,0,35,2.213643e+14
1,0,36,2.552477e+14
1,0,37,1.499899e+14
1,0,38,3.811079e+14
1,0,39,9.932225e+13
1,0,40,2.963009e+14
1,0,41,2.076822e+14
1,0,42,3.000113e+14
1,0,43,2.336351e+14
1,0,44,3.470489e+14
1,0,45,7.450358e+13
1,0,46,9.354677e+13
1,0,47,3.460366e+14
1,0,48,2.460594e+14
1,0,49,9.658119e+12
1,1,2,5.231731e+14
1,1,3,4.192208e+14
1,1,4,3.463440e+14
1,1,5,6.446371e+14
1,1,6,4.889916e+14
1,1,7,3.031150e+14
1,1,8,4.633589e+14
1,1,9,5.978873e+14
1,1,10,5.501106e+14
1,1,11,1.069463e+15
1,1,12,8.534185e+13
1,1,13,6.174820e+14
1,1,14,6.102404e+14
1,1,15,3.471341e+14
1,1,16,4.079346e+14
1,1,17,2.962863e+14
1,1,18,7.891567e+13
1,1,19,3.196122e+14
1,1,20,2.967141e+14
1,1,21,1.437404e+14
1,1,22,6.908734e+14
1,1,23,5.023486e+14
1,1,24,4.119510e+14
1,1,25,2.086781e+14
1,1,26,7.698843e+14
1,1,27,2.706744e+14
1,1,28,6.567323e+14
1,1,29,4.813691e+14
1,1,30,2.497243e+14
1,1,31,4.060519e+14
1,1,32,1.124113e+15
1,1,33,3.467500e+14
1,1,34,5.126651e+14
1,1,35,5.049469e+14
1,1,36,4.781902e+14
1,1,37,2.710788e+14
1,1,38,6.646905e+14
1,1,39,2.093984e+14
1,1,40,5.673759e+14
1,1,41,1.131756e+14
1,1,42,5.835939e+14
1,1,43,5.172177e+14
1,1,44,4.538052e+14
1,1,45,3.580862e+14
1,1,46,3.771293e+14
1,1,47,6.296191e+14
1,1,48,5.296420e+14
1,1,49,2.916185e+14
1,2,3,3.532148e+14
1,2,4,2.914477e+14
1,2,5,3.575798e+14
1,2,6,1.233107e+14
1,2,7,2.941934e+14
1,2,8,1.812061e+14
1,2,9,2.671870e+14
1,2,10,8.086101e+13
1,2,11,1.189124e+15
1,2,12,6.085149e+14
1,2,13,7.371426e+14
1,2,14,3.947617e+14
1,2,15,1.848459e+14
1,2,16,5.275952e+14
1,2,17,2.268867e+14
1,2,18,5.508890e+14
1,2,19,2.035608e+14
1,2,20,2.875453e+14
1,2,21,6.250661e+14
1,2,22,1.677004e+14
1,2,23,3.443246e+14
1,2,24,3.247379e+14
1,2,25,3.153390e+14
1,2,26,5.788490e+14
1,2,27,4.978489e+14
1,2,28,1.335592e+14
1,2,29,5.704830e+13
1,2,30,2.734487e+14
1,2,31,1.472617e+14
1,2,32,6.009395e+14
1,2,33,1.764230e+14
1,2,34,2.475381e+14
1,2,35,1.961329e+14
1,2,36,4.959972e+14
1,2,37,3.907394e+14
1,2,38,1.415174e+14
1,2,39,3.389127e+14
1,2,40,5.555145e+13
1,2,41,4.099975e+14
1,2,42,6.042081e+13
1,2,43,1.378928e+14
1,2,44,1.062994e+14
1,2,45,2.180962e+14
1,2,46,2.959408e+14
1,2,47,1.064461e+14
1,2,48,1.645491e+14
1,2,49,2.315546e+14
1,3,4,7.287678e+13
1,3,5,2.254163e+14
1,3,6,2.299041e+14
1,3,7,1.161058e+14
1,3,8,5.344209e+14
1,3,9,1.786665e+14
1,3,10,4.340758e+14
1,3,11,8.359091e+14
1,3,12,5.045626e+14
1,3,13,3.839278e+14
1,3,14,1.910196e+14
1,3,15,5.380607e+14
1,3,16,1.743804e+14
1,3,17,1.668487e+14
1,3,18,4.469367e+14
1,3,19,4.302871e+14
1,3,20,1.225067e+14
1,3,21,5.211139e+14
1,3,22,2.716526e+14
1,3,23,8.312781e+13
1,3,24,2.847690e+13
1,3,25,2.105427e+14
1,3,26,3.506635e+14
1,3,27,3.938966e+14
1,3,28,3.048111e+14
1,3,29,2.961665e+14
1,3,30,1.694965e+14
1,3,31,2.059531e+14
1,3,32,7.048918e+14
1,3,33,3.886097e+14
1,3,34,1.056767e+14
1,3,35,1.570819e+14
1,3,36,1.427824e+14
1,3,37,2.746045e+14
1,3,38,4.096317e+14
1,3,39,2.349605e+14
1,3,40,4.087663e+14
1,3,41,3.201475e+14
1,3,42,3.728482e+14
1,3,43,2.153220e+14
1,3,44,4.595142e+14
1,3,45,1.351186e+14
1,3,46,5.727403e+13
1,3,47,4.248381e+14
1,3,48,1.886657e+14
1,3,49,1.276023e+14
1,4,5,2.982931e+14
1,4,6,1.681370e+14
1,4,7,4.322900e+13
1,4,8,4.726538e+14
1,4,9,2.515433e+14
1,4,10,3.723087e+14
1,4,11,8.976762e+14
1,4,12,4.316859e+14
1,4,13,4.456949e+14
1,4,14,2.638964e+14
1,4,15,4.762936e+14
1,4,16,2.361476e+14
1,4,17,1.050816e+14
1,4,18,3.740600e+14
1,4,19,3.685200e+14
1,4,20,4.962992e+13
1,4,21,4.482371e+14
1,4,22,3.445294e+14
1,4,23,1.560046e+14
1,4,24,6.560698e+13
1,4,25,1.376659e+14
1,4,26,4.235403e+14
1,4,27,3.210198e+14
1,4,28,3.103883e+14
1,4,29,2.343994e+14
1,4,30,9.661967e+13
1,4,31,1.441860e+14
1,4,32,7.777686e+14
1,4,33,3.268426e+14
1,4,34,1.663211e+14
1,4,35,1.586029e+14
1,4,36,2.045495e+14
1,4,37,2.017277e+14
1,4,38,3.478646e+14
1,4,39,1.620837e+14
1,4,40,3.469991e+14
1,4,41,2.583804e+14
1,4,42,3.110811e+14
1,4,43,1.708737e+14
1,4,44,3.977471e+14
1,4,45,7.335146e+13
1,4,46,3.078533e+13
1,4,47,3.630710e+14
1,4,48,1.832980e+14
1,4,49,6.035636e+13
1,5,6,2.342690e+14
1,5,7,3.415221e+14
1,5,8,5.387859e+14
1,5,9,9.039278e+13
1,5,10,4.384408e+14
1,5,11,8.315441e+14
1,5,12,7.299789e+14
1,5,13,3.795629e+14
1,5,14,3.718192e+13
1,5,15,5.424256e+14
1,5,16,3.066625e+14
1,5,17,3.483507e+14
1,5,18,6.723530e+14
1,5,19,4.346521e+14
1,5,20,3.479230e+14
1,5,21,7.465302e+14
1,5,22,2.455569e+14
1,5,23,1.422885e+14
1,5,24,2.326861e+14
1,5,25,4.359590e+14
1,5,26,2.212692e+14
1,5,27,6.193129e+14
1,5,28,3.091760e+14
1,5,29,3.005315e+14
1,5,30,3.949127e+14
1,5,31,2.385852e+14
1,5,32,4.794755e+14
1,5,33,3.929747e+14
1,5,34,1.319720e+14
1,5,35,1.614469e+14
1,5,36,1.664469e+14
1,5,37,5.000208e+14
1,5,38,4.139967e+14
1,5,39,4.603768e+14
1,5,40,4.131312e+14
1,5,41,5.314615e+14
1,5,42,3.772132e+14
1,5,43,2.196869e+14
1,5,44,4.638792e+14
1,5,45,2.865509e+14
1,5,46,2.675077e+14
1,5,47,4.292030e+14
1,5,48,1.930306e+14
1,5,49,3.530186e+14
1,6,7,1.858766e+14
1,6,8,3.045168e+14
1,6,9,1.438763e+14
1,6,10,2.041717e+14
1,6,11,1.065813e+15
1,6,12,5.743334e+14
1,6,13,6.138319e+14
1,6,14,2.714510e+14
1,6,15,3.081566e+14
1,6,16,4.042845e+14
1,6,17,1.927053e+14
1,6,18,5.167075e+14
1,6,19,2.003831e+14
1,6,20,1.922775e+14
1,6,21,5.908847e+14
1,6,22,2.018818e+14
1,6,23,2.210139e+14
1,6,24,2.014272e+14
1,6,25,2.803135e+14
1,6,26,4.555383e+14
1,6,27,4.636674e+14
1,6,28,1.677407e+14
1,6,29,6.626242e+13
1,6,30,2.392673e+14
1,6,31,8.293969e+13
1,6,32,6.351210e+14
1,6,33,1.587057e+14
1,6,34,1.242273e+14
1,6,35,7.282218e+13
1,6,36,3.726864e+14
1,6,37,3.443753e+14
1,6,38,1.797276e+14
1,6,39,3.047313e+14
1,6,40,1.788622e+14
1,6,41,3.758160e+14
1,6,42,1.429441e+14
1,6,43,2.822612e+13
1,6,44,2.296101e+14
1,6,45,1.309054e+14
1,6,46,1.726301e+14
1,6,47,1.949340e+14
1,6,48,4.123842e+13
1,6,49,1.973731e+14
1,7,8,4.753995e+14
1,7,9,2.947723e+14
1,7,10,3.750544e+14
1,7,11,8.949305e+14
1,7,12,3.884569e+14
1,7,13,4.429492e+14
1,7,14,3.071254e+14
1,7,15,4.790393e+14
1,7,16,2.334019e+14
1,7,17,1.078273e+14
1,7,18,3.308310e+14
1,7,19,3.712657e+14
1,7,20,6.648052e+12
1,7,21,4.050081e+14
1,7,22,3.877584e+14
1,7,23,1.992336e+14
1,7,24,1.088360e+14
1,7,25,9.443689e+13
1,7,26,4.667693e+14
1,7,27,2.777908e+14
1,7,28,3.536173e+14
1,7,29,2.371451e+14
1,7,30,9.690780e+13
1,7,31,1.469317e+14
1,7,32,8.209976e+14
1,7,33,3.295883e+14
1,7,34,2.095501e+14
1,7,35,2.018319e+14
1,7,36,2.018038e+14
1,7,37,1.584987e+14
1,7,38,3.615755e+14
1,7,39,1.188547e+14
1,7,40,3.497448e+14
1,7,41,2.611261e+14
1,7,42,3.138268e+14
1,7,43,2.141027e+14
1,7,44,4.004928e+14
1,7,45,7.609716e+13
1,7,46,7.401433e+13
1,7,47,3.658167e+14
1,7,48,2.265270e+14
1,7,49,6.310206e+13
1,8,9,4.483931e+14
1,8,10,1.003451e+14
1,8,11,1.370330e+15
1,8,12,5.487008e+14
1,8,13,9.183487e+14
1,8,14,5.759678e+14
1,8,15,1.162248e+14
1,8,16,7.088014e+14
1,8,17,3.675722e+14
1,8,18,4.910749e+14
1,8,19,1.437467e+14
1,8,20,4.687515e+14
1,8,21,5.652520e+14
1,8,22,2.932290e+14
1,8,23,5.255307e+14
1,8,24,5.059440e+14
1,8,25,4.965451e+14
1,8,26,7.600551e+14
1,8,27,5.715411e+14
1,8,28,2.296098e+14
1,8,29,2.382544e+14
1,8,30,3.784917e+14
1,8,31,3.284678e+14
1,8,32,6.607537e+14
1,8,33,1.458112e+14
1,8,34,4.287442e+14
1,8,35,3.773390e+14
1,8,36,6.772033e+14
1,8,37,5.719455e+14
1,8,38,2.013316e+14
1,8,39,5.102651e+14
1,8,40,1.256547e+14
1,8,41,3.501833e+14
1,8,42,1.615727e+14
1,8,43,3.190989e+14
1,8,44,7.490670e+13
1,8,45,3.993024e+14
1,8,46,4.771469e+14
1,8,47,1.662602e+14
1,8,48,3.457553e+14
1,8,49,4.122974e+14
1,9,10,3.480480e+14
1,9,11,9.219369e+14
1,9,12,6.832291e+14
1,9,13,4.699556e+14
1,9,14,1.275747e+14
1,9,15,4.520329e+14
1,9,16,2.604083e+14
1,9,17,3.016010e+14
1,9,18,6.256032e+14
1,9,19,3.442593e+14
1,9,20,3.011732e+14
1,9,21,6.997804e+14
1,9,22,1.551641e+14
1,9,23,9.553869e+13
1,9,24,1.859363e+14
1,9,25,3.892092e+14
1,9,26,3.116620e+14
1,9,27,5.725631e+14
1,9,28,2.187833e+14
1,9,29,2.101387e+14
1,9,30,3.481630e+14
1,9,31,1.918354e+14
1,9,32,5.262253e+14
1,9,33,3.025819e+14
1,9,34,8.522217e+13
1,9,35,9.294038e+13
1,9,36,2.288102e+14
1,9,37,4.532710e+14
1,9,38,3.236039e+14
1,9,39,4.136270e+14
1,9,40,3.227384e+14
1,9,41,4.847117e+14
1,9,42,2.868204e+14
1,9,43,1.292942e+14
1,9,44,3.734864e+14
1,9,45,2.398011e+14
1,9,46,2.207580e+14
1,9,47,3.388103e+14
1,9,48,1.026378e+14
1,9,49,3.062688e+14
1,10,11,1.269985e+15
1,10,12,6.354525e+14
1,10,13,8.180036e+14
1,10,14,4.756227e+14
1,10,15,2.029765e+14
1,10,16,6.084563e+14
1,10,17,2.672271e+14
1,10,18,5.778266e+14
1,10,19,2.304984e+14
1,10,20,3.684064e+14
1,10,21,6.520037e+14
1,10,22,1.928839e+14
1,10,23,4.251856e+14
1,10,24,4.055989e+14
1,10,25,3.962000e+14
1,10,26,6.597100e+14
1,10,27,5.247864e+14
1,10,28,1.292647e+14
1,10,29,1.379093e+14
1,10,30,3.003863e+14
1,10,31,2.281227e+14
1,10,32,5.740020e+14
1,10,33,2.033606e+14
1,10,34,3.283991e+14
1,10,35,2.769939e+14
1,10,36,5.768582e+14
1,10,37,4.716004e+14
1,10,38,1.145799e+14
1,10,39,4.099200e+14
1,10,40,2.530956e+13
1,10,41,4.369350e+14
1,10,42,6.122760e+13
1,10,43,2.187538e+14
1,10,44,9.630539e+13
1,10,45,2.989572e+14
1,10,46,3.768018e+14
1,10,47,7.950853e+13
1,10,48,2.454102e+14
1,10,49,3.119523e+14
1,11,12,1.045655e+15
1,11,13,4.519813e+14
1,11,14,7.943622e+14
1,11,15,1.373970e+15
1,11,16,6.615286e+14
1,11,17,1.002758e+15
1,11,18,9.905476e+14
1,11,19,1.266196e+15
1,11,20,9.015785e+14
1,11,21,9.257229e+14
1,11,22,1.077101e+15
1,11,23,8.447992e+14
1,11,24,8.643860e+14
1,11,25,8.737849e+14
1,11,26,6.102749e+14
1,11,27,7.987889e+14
1,11,28,1.140720e+15
1,11,29,1.132076e+15
1,11,30,9.918383e+14
1,11,31,1.041862e+15
1,11,32,8.594689e+14
1,11,33,1.224519e+15
1,11,34,9.415858e+14
1,11,35,9.929910e+14
1,11,36,6.931267e+14
1,11,37,7.983845e+14
1,11,38,1.245541e+15
1,11,39,8.600649e+14
1,11,40,1.244675e+15
1,11,41,1.156057e+15
1,11,42,1.208757e+15
1,11,43,1.051231e+15
1,11,44,1.295423e+15
1,11,45,9.710276e+14
1,11,46,8.931831e+14
1,11,47,1.260747e+15
1,11,48,1.024575e+15
1,11,49,9.580325e+14
1,12,13,6.032172e+14
1,12,14,6.955822e+14
1,12,15,4.324759e+14
1,12,16,4.233164e+14
1,12,17,3.816282e+14
1,12,18,5.762590e+13
1,12,19,4.049541e+14
1,12,20,3.820559e+14
1,12,21,1.199318e+14
1,12,22,7.762153e+14
1,12,23,5.876905e+14
1,12,24,4.972928e+14
1,12,25,2.940200e+14
1,12,26,8.552262e+14
1,12,27,2.468658e+14
1,12,28,7.420741e+14
1,12,29,5.667110e+14
1,12,30,3.350662e+14
1,12,31,4.913937e+14
1,12,32,1.209454e+15
1,12,33,4.320919e+14
1,12,34,5.980070e+14
1,12,35,5.902888e+14
1,12,36,5.635320e+14
1,12,37,2.472702e+14
1,12,38,7.500323e+14
1,12,39,2.696022e+14
1,12,40,6.527178e+14
1,12,41,1.985174e+14
1,12,42,6.689357e+14
1,12,43,6.025596e+14
1,12,44,5.391471e+14
1,12,45,4.434280e+14
1,12,46,4.624712e+14
1,12,47,7.149610e+14
1,12,48,6.149838e+14
1,12,49,3.769603e+14
1,13,14,3.423809e+14
1,13,15,9.219885e+14
1,13,16,2.095474e+14
1,13,17,5.507765e+14
1,13,18,5.455913e+14
1,13,19,8.142150e+14
1,13,20,4.495973e+14
1,13,21,6.197685e+14
1,13,22,6.251198e+14
1,13,23,3.928180e+14
1,13,24,4.124047e+14
1,13,25,4.218036e+14
1,13,26,2.520089e+14
1,13,27,4.925512e+14
1,13,28,6.887389e+14
1,13,29,6.800943e+14
1,13,30,5.398570e+14
1,13,31,5.898809e+14
1,13,32,6.062372e+14
1,13,33,7.725376e+14
1,13,34,4.896046e+14
1,13,35,5.410097e+14
1,13,36,2.411455e+14
1,13,37,3.732591e+14
1,13,38,7.935595e+14
1,13,39,4.080836e+14
1,13,40,7.926941e+14
1,13,41,7.040753e+14
1,13,42,7.567760e+14
1,13,43,5.992498e+14
1,13,44,8.434420e+14
1,13,45,5.190464e+14
1,13,46,4.412018e+14
1,13,47,8.087659e+14
1,13,48,5.725935e+14
1,13,49,5.060513e+14
1,14,15,5.796076e+14
1,14,16,2.722658e+14
1,14,17,3.139540e+14
1,14,18,6.379563e+14
1,14,19,4.718340e+14
1,14,20,3.135263e+14
1,14,21,7.121335e+14
1,14,22,2.827388e+14
1,14,23,1.078918e+14
1,14,24,1.982894e+14
1,14,25,4.015623e+14
1,14,26,1.840873e+14
1,14,27,5.849162e+14
1,14,28,3.463580e+14
1,14,29,3.377134e+14
1,14,30,3.605160e+14
1,14,31,2.474999e+14
1,14,32,5.138722e+14
1,14,33,4.301566e+14
1,14,34,1.472236e+14
1,14,35,1.986288e+14
1,14,36,1.320502e+14
1,14,37,4.656241e+14
1,14,38,4.511786e+14
1,14,39,4.259800e+14
1,14,40,4.503131e+14
1,14,41,4.970648e+14
1,14,42,4.143951e+14
1,14,43,2.568689e+14
1,14,44,5.010611e+14
1,14,45,2.521542e+14
1,14,46,2.331110e+14
1,14,47,4.663850e+14
1,14,48,2.302125e+14
1,14,49,3.186219e+14
1,15,16,7.124411e+14
1,15,17,3.712120e+14
1,15,18,3.834222e+14
1,15,19,1.077735e+14
1,15,20,4.723912e+14
1,15,21,4.490272e+14
1,15,22,3.437393e+14
1,15,23,5.291705e+14
1,15,24,5.095838e+14
1,15,25,5.001849e+14
1,15,26,7.636949e+14
1,15,27,5.751809e+14
1,15,28,3.095982e+14
1,15,29,2.418942e+14
1,15,30,3.821315e+14
1,15,31,3.321076e+14
1,15,32,7.769785e+14
1,15,33,1.494509e+14
1,15,34,4.323840e+14
1,15,35,3.809788e+14
1,15,36,6.808430e+14
1,15,37,5.755852e+14
1,15,38,3.175564e+14
1,15,39,5.139049e+14
1,15,40,2.202418e+14
1,15,41,2.339585e+14
1,15,42,2.364598e+14
1,15,43,3.227387e+14
1,15,44,1.066711e+14
1,15,45,4.029421e+14
1,15,46,4.807867e+14
1,15,47,2.824850e+14
1,15,48,3.493950e+14
1,15,49,4.159372e+14
1,16,17,3.412292e+14
1,16,18,3.656905e+14
1,16,19,6.046676e+14
1,16,20,2.400499e+14
1,16,21,4.398677e+14
1,16,22,4.155724e+14
1,16,23,1.832706e+14
1,16,24,2.028573e+14
1,16,25,2.122562e+14
1,16,26,4.319097e+14
1,16,27,3.126504e+14
1,16,28,4.791915e+14
1,16,29,4.705469e+14
1,16,30,3.303096e+14
1,16,31,3.803335e+14
1,16,32,7.861380e+14
1,16,33,5.629902e+14
1,16,34,2.800572e+14
1,16,35,3.314623e+14
1,16,36,1.402156e+14
1,16,37,1.933583e+14
1,16,38,5.840122e+14
1,16,39,1.985363e+14
1,16,40,5.831467e+14
1,16,41,4.945280e+14
1,16,42,5.472287e+14
1,16,43,3.897024e+14
1,16,44,6.338947e+14
1,16,45,3.094990e+14
1,16,46,2.316545e+14
1,16,47,5.992185e+14
1,16,48,3.630461e+14
1,16,49,2.965039e+14
1,17,18,3.240023e+14
1,17,19,2.634384e+14
1,17,20,1.011792e+14
1,17,21,3.981794e+14
1,17,22,3.945871e+14
1,17,23,2.060623e+14
1,17,24,1.383718e+14
1,17,25,1.289729e+14
1,17,26,4.735980e+14
1,17,27,2.709622e+14
1,17,28,3.604459e+14
1,17,29,1.850828e+14
1,17,30,4.656200e+13
1,17,31,1.097656e+14
1,17,32,8.278262e+14
1,17,33,2.217610e+14
1,17,34,2.163788e+14
1,17,35,2.086606e+14
1,17,36,3.096311e+14
1,17,37,2.043733e+14
1,17,38,3.684042e+14
1,17,39,1.426929e+14
1,17,40,2.710896e+14
1,17,41,1.831108e+14
1,17,42,2.873075e+14
1,17,43,2.209314e+14
1,17,44,2.926655e+14
1,17,45,6.179981e+13
1,17,46,1.095747e+14
1,17,47,3.333328e+14
1,17,48,2.333557e+14
1,17,49,4.472524e+13
1,18,19,3.473282e+14
1,18,20,3.244300e+14
1,18,21,7.417715e+13
1,18,22,7.185894e+14
1,18,23,5.300646e+14
1,18,24,4.396669e+14
1,18,25,2.363941e+14
1,18,26,7.976003e+14
1,18,27,1.917587e+14
1,18,28,6.844482e+14
1,18,29,5.090851e+14
1,18,30,2.774403e+14
1,18,31,4.337678e+14
1,18,32,1.151829e+15
1,18,33,3.744660e+14
1,18,34,5.403811e+14
1,18,35,5.326629e+14
1,18,36,5.059061e+14
1,18,37,1.921631e+14
1,18,38,6.924064e+14
1,18,39,2.119763e+14
1,18,40,5.950919e+14
1,18,41,1.655090e+14
1,18,42,6.113098e+14
1,18,43,5.449337e+14
1,18,44,4.815212e+14
1,18,45,3.858021e+14
1,18,46,4.048453e+14
1,18,47,6.573351e+14
1,18,48,5.573579e+14
1,18,49,3.193344e+14
1,19,20,3.646177e+14
1,19,21,4.215053e+14
1,19,22,3.712612e+14
1,19,23,4.213970e+14
1,19,24,4.018103e+14
1,19,25,3.924114e+14
1,19,26,6.559213e+14
1,19,27,4.674073e+14
1,19,28,3.371200e+14
1,19,29,1.617569e+14
1,19,30,2.743579e+14
1,19,31,2.243341e+14
1,19,32,8.045003e+14
1,19,33,4.167740e+13
1,19,34,3.246104e+14
1,19,35,2.732052e+14
1,19,36,5.730695e+14
1,19,37,4.678117e+14
1,19,38,3.450783e+14
1,19,39,4.061313e+14
1,19,40,2.477637e+14
1,19,41,2.064367e+14
1,19,42,2.639816e+14
1,19,43,2.149652e+14
1,19,44,1.341930e+14
1,19,45,2.951686e+14
1,19,46,3.730131e+14
1,19,47,3.100069e+14
1,19,48,2.416215e+14
1,19,49,3.081637e+14
1,20,21,3.986072e+14
1,20,22,3.941593e+14
1,20,23,2.056345e+14
1,20,24,1.152369e+14
1,20,25,8.803598e+13
1,20,26,4.731702e+14
1,20,27,2.713899e+14
1,20,28,3.600182e+14
1,20,29,2.304970e+14
1,20,30,9.025974e+13
1,20,31,1.402836e+14
1,20,32,8.273985e+14
1,20,33,3.229403e+14
1,20,34,2.159510e+14
1,20,35,2.082328e+14
1,20,36,2.084518e+14
1,20,37,1.520978e+14
1,20,38,3.679764e+14
1,20,39,1.124538e+14
1,20,40,3.430968e+14
1,20,41,2.544781e+14
1,20,42,3.071788e+14
1,20,43,2.205036e+14
1,20,44,3.938448e+14
1,20,45,6.944911e+13
1,20,46,8.041524e+13
1,20,47,3.591686e+14
1,20,48,2.329279e+14
1,20,49,5.645401e+13
1,21,22,7.927665e+14
1,21,23,6.042417e+14
1,21,24,5.138441e+14
1,21,25,3.105712e+14
1,21,26,8.717774e+14
1,21,27,1.272173e+14
1,21,28,7.586254e+14
1,21,29,5.832622e+14
1,21,30,3.516174e+14
1,21,31,5.079450e+14
1,21,32,1.226006e+15
1,21,33,4.486431e+14
1,21,34,6.145582e+14
1,21,35,6.068400e+14
1,21,36,5.800833e+14
1,21,37,2.465094e+14
1,21,38,7.665836e+14
1,21,39,2.861534e+14
1,21,40,6.692690e+14
1,21,41,2.303337e+14
1,21,42,6.854870e+14
1,21,43,6.191108e+14
1,21,44,5.556983e+14
1,21,45,4.599792e+14
1,21,46,4.790224e+14
1,21,47,7.315122e+14
1,21,48,6.315351e+14
1,21,49,3.935116e+14
1,22,23,2.323018e+14
1,22,24,2.789224e+14
1,22,25,4.821953e+14
1,22,26,4.668261e+14
1,22,27,6.655492e+14
1,22,28,6.361913e+13
1,22,29,2.095043e+14
1,22,30,4.411491e+14
1,22,31,2.848215e+14
1,22,32,4.332392e+14
1,22,33,3.441234e+14
1,22,34,1.782083e+14
1,22,35,1.859265e+14
1,22,36,3.839743e+14
1,22,37,5.462571e+14
1,22,38,1.684398e+14
1,22,39,5.066131e+14
1,22,40,1.675743e+14
1,22,41,5.776978e+14
1,22,42,1.316563e+14
1,22,43,1.736557e+14
1,22,44,2.370682e+14
1,22,45,3.327873e+14
1,22,46,3.137441e+14
1,22,47,1.836461e+14
1,22,48,1.612314e+14
1,22,49,3.992549e+14
1,23,24,9.039761e+13
1,23,25,2.936705e+14
1,23,26,2.675357e+14
1,23,27,4.770244e+14
1,23,28,2.959209e+14
1,23,29,2.872763e+14
1,23,30,2.526243e+14
1,23,31,1.970629e+14
1,23,32,6.217640e+14
1,23,33,3.797196e+14
1,23,34,9.678657e+13
1,23,35,1.481917e+14
1,23,36,1.516725e+14
1,23,37,3.577323e+14
1,23,38,4.007415e+14
1,23,39,3.180883e+14
1,23,40,3.998761e+14
1,23,41,3.891730e+14
1,23,42,3.639580e+14
1,23,43,2.064318e+14
1,23,44,4.506240e+14
1,23,45,1.442625e+14
1,23,46,1.252193e+14
1,23,47,4.159479e+14
1,23,48,1.797755e+14
1,23,49,2.107301e+14
1,24,25,2.032729e+14
1,24,26,3.579333e+14
1,24,27,3.866268e+14
1,24,28,2.763342e+14
1,24,29,2.676896e+14
1,24,30,1.622267e+14
1,24,31,1.774762e+14
1,24,32,7.121616e+14
1,24,33,3.601329e+14
1,24,34,1.007141e+14
1,24,35,1.286050e+14
1,24,36,1.712593e+14
1,24,37,2.673347e+14
1,24,38,3.811548e+14
1,24,39,2.276907e+14
1,24,40,3.802894e+14
1,24,41,2.987754e+14
1,24,42,3.443713e+14
1,24,43,1.868451e+14
1,24,44,4.310373e+14
1,24,45,1.066417e+14
1,24,46,3.482166e+13
1,24,47,3.963612e+14
1,24,48,1.601888e+14
1,24,49,1.203325e+14
1,25,26,5.612062e+14
1,25,27,1.833540e+14
1,25,28,4.480542e+14
1,25,29,2.726910e+14
1,25,30,1.180534e+14
1,25,31,1.973738e+14
1,25,32,9.154345e+14
1,25,33,3.507340e+14
1,25,34,3.039870e+14
1,25,35,2.962688e+14
1,25,36,2.695121e+14
1,25,37,7.540034e+13
1,25,38,4.560124e+14
1,25,39,2.441779e+13
1,25,40,3.708905e+14
1,25,41,2.822717e+14
1,25,42,3.749157e+14
1,25,43,3.085396e+14
1,25,44,4.216384e+14
1,25,45,1.494080e+14
1,25,46,1.684512e+14
1,25,47,4.209410e+14
1,25,48,3.209639e+14
1,25,49,8.424769e+13
1,26,27,7.445601e+14
1,26,28,5.304453e+14
1,26,29,5.218007e+14
1,26,30,5.201600e+14
1,26,31,4.315872e+14
1,26,32,3.542283e+14
1,26,33,6.142439e+14
1,26,34,3.313109e+14
1,26,35,3.827161e+14
1,26,36,2.916941e+14
1,26,37,6.252680e+14
1,26,38,6.352659e+14
1,26,39,5.856240e+14
1,26,40,6.344004e+14
1,26,41,6.567087e+14
1,26,42,5.984824e+14
1,26,43,4.409562e+14
1,26,44,6.851484e+14
1,26,45,4.117982e+14
1,26,46,3.927550e+14
1,26,47,6.504723e+14
1,26,48,4.142998e+14
1,26,49,4.782658e+14
1,27,28,6.314081e+14
1,27,29,4.560450e+14
1,27,30,2.244002e+14
1,27,31,3.807277e+14
1,27,32,1.098788e+15
1,27,33,4.257299e+14
1,27,34,4.873410e+14
1,27,35,4.796228e+14
1,27,36,4.528660e+14
1,27,37,1.192921e+14
1,27,38,6.393663e+14
1,27,39,1.589362e+14
1,27,40,5.420517e+14
1,27,41,3.572677e+14
1,27,42,5.582697e+14
1,27,43,4.918935e+14
1,27,44,4.966344e+14
1,27,45,3.327620e+14
1,27,46,3.518052e+14
1,27,47,6.042950e+14
1,27,48,5.043178e+14
1,27,49,2.662943e+14
1,28,29,1.753631e+14
1,28,30,4.070079e+14
1,28,31,2.506804e+14
1,28,32,4.673803e+14
1,28,33,3.099822e+14
